HEI name,Type,Region,Funding,URL,Comment
Hochschule der Bundesagentur für Arbeit in Mannheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Bund,www.hdba.de,d
H Mannheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hs-mannheim.de,x
H Nürtingen-Geislingen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hfwu.de,x
H Offenburg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hs-offenburg.de,x
H Pforzheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hs-pforzheim.de,x
Duale Hochschule Baden-Württemberg,Hochschule,Baden-Württemberg,Land,www.dhbw.de,d
H Ravensburg-Weingarten (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.rwu.de,x
H für Technik und Wirtschaft Reutlingen (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.reutlingen-university.de,x
H für Forstwirtschaft Rottenburg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hs-rottenburg.net,x
H für Gestaltung Schwäbisch Gmünd (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hfg-gmuend.de,x
"FH Stuttgart, H der Medien",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hdm-stuttgart.de,x
Hochschule für Technik Stuttgart (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,www.hft-stuttgart.de,x
Technische Hochschule Ulm (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Land,studium.hs-ulm.de,d
Internationale Hochschule Liebenzell (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Kirchlich,Www.ihl.eu,d
H für Ökonomie und Management Essen,Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.fom.de,d
IU Internationale Hochschule Erfurt in Mannheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.iu.de,d
"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Stuttgart (FH)",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.macromedia-fachhochschule.de,x
International School of Management Dortmund in Stuttgart (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,Www.ism.de,d
EU European University of Applied Sciences in Mannheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.ue-germany.com,d
SRH Hochschule Heidelberg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.srh-hochschule-heidelberg.de,d
"Karlshochschule International University, Karlsruhe (FH)",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,Www.karlshochschule.de,x
Hochschule der Wirtschaft für Management (HdWM) Mannheim (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.hdwm.de,x
Hochschule für Kommunikation und Gestaltung in Stuttgart (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,Www.Hfk-bw.de,x
Hochschule Fresenius Heidelberg (FH),Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.hs-fresenius.de,x
"SRH Fernhochschule, Riedlingen (FH)",Fachhochschulen (ohne VerwFH),Baden-Württemberg,Privat,www.mobile-university.de,x
