id,region,name,category,url,dnssec_domain,dnssec_nameserver,has_dnssec,dnssec_is_valid,dnssec_algorithm
367,Hessen,Europäische Studienakademie Kälte-Klima-Lüftung (ESaK) Maintal (BA),Private,www.esak.de,esak.de,ns09.domaincontrol.com.,False,False,
369,Hessen,"Intern. Berufsakademie der F+U Unternehmensgruppe Darmstadt (iba), Studienort Berlin ()",Private,www.ibadual.com,ibadual.com,ns1-ipv6.netbuild.net.,False,False,
368,Hessen,"Hessische Berufsakademie Frankfurt, Studienort Frankfurt (BA)",Private,www.hessische-ba.de,hessische-ba.de,ns02.netzfactor.org.,False,False,
371,Hessen,Wiesbadener Musikakademie (WMA),Public,www.wma-wiesbaden.de,wma-wiesbaden.de,ns01.agenturserver.co.,False,False,
372,Niedersachsen,Berufsakademie Holztechnik Melle (BA),Private,www.ba-melle.de,ba-melle.de,ns6.kasserver.com.,False,False,
373,Niedersachsen,"Berufsakademie für Bankwirtschaft Hannover-Rastede, Studienort Hannover (BA)",Private,www.ba-bankwirtschaft.de,ba-bankwirtschaft.de,a.ns14.net.,False,False,
370,Hessen,Berufsakademie Fulda,Private,www.ba-fulda.de,ba-fulda.de,nsc2.schlundtech.de.,False,False,
374,Niedersachsen,Berufsakademie für IT und Wirtschaft Oldenburg (BA),Private,www.ibs-ol.de,ibs-ol.de,ns1024.ui-dns.biz.,False,False,
375,Niedersachsen,Berufsakademie Göttingen (BA),Private,www.vwa-goettingen.de,vwa-goettingen.de,ns3.spaceverb.net.,False,False,
377,Niedersachsen,Berufsakademie Welfenakademie Braunschweig (BA),Private,welfenakademie.de,welfenakademie.de,ns1.your-server.de.,False,False,
376,Niedersachsen,Berufsakademie Lüneburg (BA),Private,www.vwa-lueneburg.de,vwa-lueneburg.de,ns1.spaceverb.net.,False,False,
379,Saarland,ASW - Berufsakademie Saarland Neunkirchen (BA),Private,www.asw-berufsakademie.de,asw-berufsakademie.de,dns1.infoserve.de.,False,False,
378,Niedersachsen,Berufsakademie Wilhelmshaven (BA),Private,Berufsakademie-wilhelmshaven.de,Berufsakademie-wilhelmshaven.de,ns2.idata-systems.net.,False,False,
380,Saarland,"BA GSS - Berufsakademie für Gesundheits- und Sozialwesen Saarland gGmbH, Saarbrücken (BA)",Private,www.shg-kliniken.de,shg-kliniken.de,ns2.teresto.net.,False,False,
381,Saarland,"ISBA gGmbH - Internationale Studien- und Berufsakademie, Saarbrücken (BA)",Private,www.isba-studium.de,isba-studium.de,ns1.net-server.de.,False,False,
382,Saarland,"Berufsakademie Heimerer GmbH, Quierschied (BA)",Private,www.heimerer.de,heimerer.de,ns71.domaincontrol.com.,False,False,
385,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Dresden",Public,www.ba-dresden.de,ba-dresden.de,208.67.222.222.ba-dresden.de.,False,False,
383,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Bautzen",Public,www.ba-bautzen.de,ba-bautzen.de,ns1.dssax.de.,False,False,
388,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Riesa",Public,www.ba-riesa.de,ba-riesa.de,208.67.222.222.ba-riesa.de.,False,False,
384,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Breitenbrunn",Public,www.ba-breitenbrunn.de,ba-breitenbrunn.de,ns1.dssax.de.,False,False,
386,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Glauchau",Public,www.ba-glauchau.de,ba-glauchau.de,ns1.dssax.de.,False,False,
387,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Leipzig",Public,www.ba-leipzig.de,ba-leipzig.de,ns1.dssax.de.,False,False,
389,Sachsen,"Berufsakademie Sachsen - Staatliche Studienakademie, Studienort Plauen",Public,www.ba-plauen.de,ba-plauen.de,ns1.dssax.de.,False,False,
390,Niedersachsen,PFH - Private Hochschule Göttingen,Private,www.pfh.de,pfh.de,nsc4.schlundtech.de.,False,False,
394,Nordrhein-Westfalen,Hochschule für Finanzen NRW,Public,www.finanzverwaltung.nrw.de,nrw.de,deneb.dfn.de.,False,False,
392,Baden-Württemberg,Hochschule für Kirchenmusik der Evangelischen Landeskirche in Baden,Private,www.hfk-heidelberg.de,hfk-heidelberg.de,shades18.rzone.de.,False,False,
391,Hamburg,Norddeutsche Akademie für Finanzen und Steuerrecht,Public,www.hamburg.de,hamburg.de,ns1.mcs.de.,False,False,
